SeqNum,HR,BR,ST,Post,Act,BWAmp,BWNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,GSR,Time
2,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,0.448
3,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,1.4510000000042491
4,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,2.4500000000004074
5,0,65535,-32768,-90,2,0,65535,255,800,20,0,65535,65280,3.448
6,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,4.45100000000425
7,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,5.448
8,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,6.448
9,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,7.45100000000425
10,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,8.448
11,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,9.448
12,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,10.45100000000425
13,0,65535,-32768,-90,2,0,65535,255,800,20,0,65535,65280,11.448
14,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,12.45100000000425
15,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,13.448
16,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,14.448
17,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,15.45100000000425
18,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,16.450000000000408
19,0,65535,-32768,-90,1,0,65535,255,800,20,0,65535,65280,17.450000000000408
20,0,65535,-32768,-90,1,0,65535,255,800,40,0,65535,65280,18.449000000003842
21,0,65535,-32768,88,22,0,65535,255,800,60,0,65535,65280,19.450000000000408
22,0,65535,-32768,-90,25,0,65535,255,800,80,0,65535,65280,20.448
23,0,65535,-32768,-94,13,0,65535,255,800,60,0,65535,65280,21.45100000000425
24,0,65535,-32768,-97,7,0,65535,255,800,40,0,65535,65280,22.448
25,0,65535,-32768,-97,3,0,65535,255,800,20,0,65535,65280,23.448
26,0,65535,-32768,-99,3,0,65535,255,800,20,0,65535,65280,24.448
27,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,25.448
28,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,26.450000000000408
29,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,27.450000000000408
30,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,28.448
31,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,29.45100000000425
32,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,30.448
33,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,31.450000000000408
34,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,32.45100000000425
35,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,33.45000000000041
36,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,34.44900000000384
37,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,35.448
38,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,36.45000000000041
39,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,37.45000000000041
40,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,38.45000000000041
41,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,39.44900000000384
42,0,65535,-32768,-100,1,0,65535,255,800,20,0,65535,65280,40.44900000000384
